,Unnamed: 0,0,1,2,grade
0,0,What is that Sign?,"{'Transportation', 'Community'}","
Street signs and markings are all around us. It is important to pay attention to them. They help keep us safe. Learn about some of them here. 
Safe to Cross 

Crosswalks tell us where to cross the street.

Wait Your Turn

 
An orange hand tells walkers to stop. It is not safe to cross a street when you see this sign.
Time to Go

 
This sign means it is safe to cross. Cars are supposed to wait. But you should always look both ways before crossing a street.

A Sign You Can Feel

 
Have you ever noticed a bumpy strip? It warns that the pavement is changing or ending. It helps people who have trouble seeing.

Did You Know?

A person who is walking is called a pedestrian. Some street signs use that word. See if you can spot the word pedestrian next time you are out! 
",k1
1,1,On the Move,"{'Transportation', 'Community'}","
How do roads appear? It is not by magic. A transportation engineer plans them. Yung Koprowski is a transportation engineer. “We make it safer and easier for people to travel,” she told TIME for Kids. 
Koprowski runs a company in Arizona. She helps towns plan new transportation systems. She also finds ways to make older  systems better.
Transportation engineers have a lot to think about. They plan road signs and markings. They set the timing on traffic signals. They plan bike lanes. They also plan sidewalks. 
Math and science skills are needed for this job. So are problem-solving skills. Creativity is important, too. “We do a lot of writing and research,” Koprowski says.
",k1
2,2,He Loves Bugs,"{'Science', 'People'}","
Meet Samuel Ramsey. His nickname is Dr. Sammy. He is an entomologist.  That is a person who studies insects. Read on to learn about Dr. Sammy’s job.

Hard at Work

Dr. Sammy works for the United States Department of Agriculture. He handles all sorts of insects each day.

In the Lab

Dr. Sammy does research in a lab. He looks at insects under a microscope. 

Bees, Please!

Dr. Sammy’s current work focuses on keeping bees healthy. He studies sick bees. He’s making medicines for them.

Reading Helps

Dr. Sammy has been interested in insects since childhood. As a kid, he was scared of insects. But reading and learning about them changed that. 

Spreading Knowledge

 
Dr. Sammy is also an educator. He shares information about the amazing world of insects. In this photo, he is talking about his work. 
",k1
3,3,Three Favorites,"{'Science', 'People'}","
It is hard for Dr. Sammy to pick which insect he likes best. He has so many favorites! Here are a few of them.
Honeybee

Honeybees sip nectar from flowers. Bees live in colonies. They communicate with one another by dancing. 
 
Preying Mantis

Praying mantises are predators. They eat other insects. Sometimes, they eat bigger creatures, such as mice and snakes.
Beetles

There are thousands of different kinds of beetles. These insects have a hard outer shell. It helps protect them. 
",k1
4,4,Check the Library!,"{'Places', 'Community'}","
Rows of Books

Libraries let you borrow books. Many neighborhoods have their own library. Many schools have a library. Take a look at what is at the library.

Helping Hands

Librarians work at the library. They can help you find what you need. They are experts on books and learning.
Lots to Do 

Most libraries have more than books. You can use the computers. You can borrow movies. Libraries have story time. Some have art classes.
Checkout Counter

 
You borrow things from the library. Use a library card to check out a book. Take it home. Then bring it back another day.
Did you know?
 

This is a card catalog. In the past, every book that a library had was listed on index cards. Today, the information is online. 

",k1
5,5,Tiny Libraries,"{'Places', 'Community'}","
Not every library is in a big building. Some libraries are very small. A Little Free Library can be the size of a birdhouse! Some little libraries are even built in the trunks of old trees.
A Little Free Library lets neighbors trade books. Anyone can start one. Most Little Free Libraries are wooden boxes. The boxes are filled with books. You can take a book. Then you can leave one for someone else. “It’s a great way to share a love of reading,” Margret Aldrich told TIME for Kids. She wrote a book about Little Free Libraries. 

",k1
8,8,How We Eat,"{'Food and Nutrition', 'World'}","
People eat with different tools. Here are a few of them. Which do you use most often?
Fork

 
This fork has four prongs. You poke them into food to pick it up. You can also use a fork to scoop food.
Hands and Fingers

 
In some countries, it is common to scoop food with fingers or bread. This person is eating Indian food by hand.
Chopsticks

Chopsticks work together to grab food. They were developed in China about 5,000 years ago. Here you see them picking up fish.

",k1
9,9,Pass the Rice,"{'Food and Nutrition', 'World'}","
People all over the world eat rice. Different countries have their own rice dishes. Below are five dishes from different parts of the world. Which would you like to try? 
Jambalaya is from the United States.

 
Jambalaya is popular in Louisiana. Rice is cooked with different kinds of meat, seafood, and spices.
Risotto is from Italy.

  is slowly added to cooking rice. This makes the dish very creamy.
Arroz rojo is from Mexico.

 
Arroz rojo means “red rice” in Spanish. Tomato sauce gives the rice its color. Arroz rojo is common as a side dish.
Tahdig is from Iran.

 
Tahdig means “bottom of the pot.” Cooked rice forms a crust on the bottom of the pot. The crust is brown and crunchy. The rest of the rice stays white and fluffy. 
Champorado is from the Philippines.

 
This is a chocolate . It is made with sticky rice. It is served for breakfast with sweet milk.
 
",k1
12,12,Who Is in Charge?,"{'United States', 'Government'}","
Countries, states, and cities all have leaders. Read on to learn about different leaders in the United States
The president leads the country.

 
The president is the leader of the United States government. Joe Biden is the current president. He lives and works in the White House. It is in Washington, D.C. 
Governors lead states.

 
A governor leads a state government. He or she decides which laws the state should have. Most governors work in a state’s capitol building. This one is in Harrisburg, Pennsylvania. 
Mayors lead towns and cities.

 
A mayor is the leader of a local government. Many places have a town hall or city hall. The mayor and the council meet there to work. 
",k1
13,13,A Mayor's Job,"{'Community', 'Government'}","
A mayor is the leader of a city or town. A mayor is  by a town’s voters. Keep reading to learn more about a mayor’s job. 
Mayors manage workers.  

Mayors help run city . These include the police and  departments.
Mayors make rules.

Cities have laws, or rules. Mayors help decide which laws are right for their community.
Mayors solve problems.

Do you see a problem in your community? Maybe a park has broken equipment. Tell your mayor. He or she might be able to help.
Mayors work with other leaders.

 
Many cities or towns have a council. A council is a group that works with the mayor. Together, they help the town run smoothly.
",k1
